,Median Rent 2016,Tract Number,Neighborhood,Location,ZIP
0,900.0,212305,Koreatown,"(34.056107, -118.298204)",90006
2,1391.0,101110,Tujunga,"(34.2595555, -118.293602)",91042
3,1924.0,101122,Tujunga,"(34.267357, -118.29024)",91042
4,1141.0,101210,Tujunga,"(34.251998, -118.2926875)",91042
6,1123.0,101220,Tujunga,"(34.2511895, -118.281014)",91042
7,2131.0,101300,Tujunga,"(34.2455945, -118.271731)",91042
9,1190.0,101400,Tujunga,"(34.244255, -118.296428)",91042
11,2095.0,102103,Shadow Hills,"(34.224155, -118.354339)",91352
12,2552.0,102104,Shadow Hills,"(34.216189, -118.3456235)",91504
14,1328.0,102105,Sun Valley,"(34.210852, -118.3480495)",91352
17,1163.0,102107,Shadow Hills,"(34.2412955, -118.3292705)",91352
19,1484.0,103101,Sunland,"(34.274431, -118.30714)",91040
21,1509.0,103102,Sunland,"(34.262834, -118.30683)",91042
23,954.0,103200,Lake View Terrace,"(34.2745565, -118.3439025)",91041
26,2136.0,103300,Shadow Hills,"(34.255439, -118.3527775)",91352
28,1452.0,103400,Sunland,"(34.253933, -118.3147245)",91040
30,1392.0,104103,Lake View Terrace,"(34.2819045, -118.3918905)",91342
31,766.0,104105,Pacoima,"(34.276146, -118.404645)",91331
33,1298.0,104108,Pacoima,"(34.271671, -118.397614)",91342
35,1490.0,104124,Lopez/Kagel Canyons,"(34.287866, -118.376208)",91342
36,1935.0,104201,Pacoima,"(34.2867415, -118.4160805)",91331
39,1239.0,104203,Pacoima,"(34.279058, -118.411554)",91331
40,1078.0,104204,Lake View Terrace,"(34.2886315, -118.396898)",91342
42,1514.0,104310,Pacoima,"(34.2762555, -118.4293915)",91331
44,1000.0,104320,Pacoima,"(34.27316, -118.4202235)",91331
45,1675.0,104401,Pacoima,"(34.2670615, -118.433071)",91331
46,1518.0,104403,Pacoima,"(34.2589085, -118.4345385)",91331
47,1356.0,104404,Pacoima,"(34.2639205, -118.4286915)",91333
49,1304.0,104500,Pacoima,"(34.25551, -118.4257485)",91331
50,1423.0,104610,Pacoima,"(34.2604335, -118.4189955)",91331
51,1255.0,104620,Pacoima,"(34.2579045, -118.422465)",91331
52,894.0,104701,Pacoima,"(34.268476, -118.4152165)",91331
53,1350.0,104703,Pacoima,"(34.2551165, -118.399872)",91352
55,1362.0,104704,Pacoima,"(34.2625155, -118.4088415)",91331
56,1607.0,104810,Pacoima,"(34.2502955, -118.411179)",91331
57,1352.0,104821,Pacoima,"(34.2465705, -118.416294)",91331
58,1349.0,104822,Pacoima,"(34.245882, -118.4209225)",91331
59,1615.0,106010,Sylmar,"(34.3231715, -118.444538)",91342
60,1508.0,106020,Sylmar,"(34.320427, -118.428524)",91342
61,2285.0,106111,Sylmar,"(34.3231945, -118.4087995)",91342
62,1850.0,106112,Sylmar,"(34.305005, -118.414298)",91342
63,1500.0,106113,Sylmar,"(34.3062, -118.42203)",91342
64,1239.0,106114,Sylmar,"(34.302675, -118.426951)",91340
67,1875.0,106403,Sylmar,"(34.306005, -118.441288)",91340
69,1263.0,106405,Sylmar,"(34.3146865, -118.448309)",91342
70,1733.0,106406,Sylmar,"(34.321542, -118.4587415)",91342
71,1302.0,106407,Sylmar,"(34.3105765, -118.4365505)",91342
72,1213.0,106408,Sylmar,"(34.3132585, -118.440082)",91342
73,1592.0,106510,Sylmar,"(34.3236325, -118.4860245)",91342
74,1818.0,106520,Sylmar,"(34.308856, -118.4613605)",91342
75,2731.0,106603,Granada Hills,"(34.3189225, -118.5218285)",91344
77,1339.0,106604,Sylmar,"(34.3042795, -118.474247)",91342
78,2481.0,106641,Granada Hills,"(34.298025, -118.509153)",91344
79,2981.0,106642,Granada Hills,"(34.2863475, -118.5084525)",91344
80,1967.0,106643,Granada Hills,"(34.289784, -118.524711)",91344
81,2566.0,106645,Granada Hills,"(34.2905125, -118.4928915)",91344
82,2250.0,106646,Granada Hills,"(34.2790905, -118.4941245)",91344
83,975.0,106648,Sylmar,"(34.293406, -118.4556035)",91342
85,1766.0,106649,Sylmar,"(34.288747, -118.4611105)",91342
87,1604.0,107010,Sylmar,"(34.302027, -118.446501)",91342
88,1618.0,107020,Sylmar,"(34.2975345, -118.4503905)",91342
90,3500.0,108101,Porter Ranch,"(34.280038, -118.5413715)",91326
91,2361.0,108102,Porter Ranch,"(34.280795, -118.55492)",91327
93,2284.0,108103,Porter Ranch,"(34.2860705, -118.542893)",91326
94,3196.0,108104,Porter Ranch,"(34.2939525, -118.5470515)",91326
95,2835.0,108201,Porter Ranch,"(34.2857885, -118.562083)",91326
96,1913.0,108202,Chatsworth,"(34.288396, -118.581814)",91326
98,1365.0,109100,Mission Hills,"(34.278731, -118.4610295)",91345
99,1913.0,109200,Granada Hills,"(34.2786785, -118.474608)",91344
100,2371.0,109300,Granada Hills,"(34.272521, -118.479515)",91344
101,1581.0,109400,Mission Hills,"(34.269881, -118.4552825)",91346
103,1423.0,109500,San Fernando,"(34.274036, -118.4444575)",91340
104,1952.0,109601,Mission Hills,"(34.2582765, -118.450367)",91331
106,1142.0,109603,Mission Hills,"(34.2536515, -118.465415)",91345
108,1409.0,109604,Mission Hills,"(34.2615535, -118.465347)",91345
109,2107.0,109700,Granada Hills,"(34.263394, -118.4810215)",91345
111,1665.0,109800,North Hills,"(34.2537535, -118.481817)",91344
113,1900.0,111100,Granada Hills,"(34.2683575, -118.4946735)",91344
114,2076.0,111201,Granada Hills,"(34.275029, -118.50855)",91344
115,1581.0,111202,Granada Hills,"(34.2683485, -118.5151565)",91344
116,3229.0,111204,Porter Ranch,"(34.2620495, -118.5490485)",91326
118,2181.0,111205,Northridge,"(34.253636, -118.5358265)",91325
120,1344.0,111206,Porter Ranch,"(34.2676425, -118.5361955)",91325
124,1405.0,111301,Granada Hills,"(34.2610855, -118.5158815)",91325
128,1429.0,111302,Northridge,"(34.2539425, -118.512829)",91325
129,1173.0,111400,Granada Hills,"(34.257483, -118.495412)",91343
132,2790.0,113101,Chatsworth,"(34.265338, -118.5882575)",91311
133,3315.0,113102,Chatsworth,"(34.265325, -118.568068)",91311
135,2244.0,113211,Chatsworth,"(34.2635755, -118.611966)",93063
137,1767.0,113212,Chatsworth,"(34.2608605, -118.6035245)",91311
138,1475.0,113213,Chatsworth,"(34.2535965, -118.608218)",91311
140,1455.0,113231,Chatsworth Reservoir,"(34.2282065, -118.645614)",91304
141,1932.0,113232,West Hills,"(34.227417, -118.61402)",91304
143,1187.0,113233,Canoga Park,"(34.2275575, -118.6017175)",91304
145,1180.0,113234,Canoga Park,"(34.227624, -118.59227)",91306
148,1695.0,113235,Chatsworth,"(34.2373915, -118.6488335)",91311
150,1674.0,113237,Chatsworth,"(34.2451855, -118.6125745)",91311
151,2198.0,113301,Northridge,"(34.2448005, -118.5590895)",91311
153,1063.0,113303,Chatsworth,"(34.2420235, -118.5801645)",91324
155,1353.0,113321,Chatsworth,"(34.25361, -118.5913535)",91311
156,1854.0,113322,Chatsworth,"(34.253622, -118.571362)",91311
158,1346.0,113401,Winnetka,"(34.2279845, -118.562301)",91324
160,1423.0,113421,Winnetka,"(34.234694, -118.5826685)",91311
163,1173.0,113422,Winnetka,"(34.224085, -118.5821745)",91304
165,1888.0,115101,Northridge,"(34.239435, -118.5112365)",91343
167,1731.0,115103,Northridge,"(34.246414, -118.528551)",91325
169,1395.0,115104,Northridge,"(34.2395005, -118.523595)",91325
170,1423.0,115201,Northridge,"(34.244559, -118.537408)",91330
